"Product Name",Category,"Parts No","Rack No","Column No","Available unit","Unit type","Brand Name"
"Temerature Controller  50V 146",Electrical,,,,,7.00,Pcs,
"Temerature Controller  100  240 V",Electrical,,,,,8.00,Pcs,
"Temerature Controller  0.400C",Electrical,,,,,6.00,Pcs,
"Temerature Controller  220v AC",Electrical,,,,,2.00,Pcs,
"Temerature Controller   SMALL 220v AC",Electrical,,,,,6.00,Pcs,
"Temerature Controller  ",Electrical,,,,,13.00,Pcs,
"Tube Light 18W",Electrical,,,,,66.00,Pcs,
"Tube Light 20W",Electrical,,,,,16.00,Pcs,
"Twin Panel Light  Ac 105-300v ",Electrical,,,,,6.00,Pcs,
"LED Lighting 10w",Electrical,,,,,2.00,Pcs,
"LED Flood Light  big ",Electrical,,,,,1.00,Pcs,
"LED Flood Light  Small ",Electrical,,,,,9.00,Pcs,
"LED Light for Mosque",Electrical,,,,,37.00,Pcs,
"LED Light 50W",Electrical,,,,,4.00,Pcs,
"LED Light 30W",Electrical,,,,,4.00,Pcs,
"One Gang Box ",Electrical,,,,,12.00,Pcs,
"Two  Gang Box ",Electrical,,,,,6.00,Pcs,
"Pressure Regulating Filter",Electrical,,,,,15.00,Pcs,
"Contactor 24 DC ",Electrical,,,,,1.00,Pcs,
"Gum tape /one side tape",Stationary,,,,,0.00,Pcs,
"Both side Tape",Stationary,,,,,0.00,Pcs,
"Block Tape ",Stationary,,,,,0.00,Pcs,
"PP Belt(Strapping Tape )",Stationary,,,,,0.00,Pcs,
"Band /Metal Clip ",Stationary,,,,,0.00,Pcs,
"Rubber Band ",Stationary,,,,,0.00,Pcs,
"Paper Bobin ",Stationary,,,,,0.00,Pcs,
"Corrugated Carton",Stationary,,,,,0.00,Pcs,
"Maskin Tape ",Stationary,,,,,0.00,Pcs,
"Carate Paper ",Stationary,,,,,0.00,Pcs,
"Stock Register Book ",Stationary,,,,,0.00,Pcs,
"Normal Register Book ",Stationary,,,,,0.00,Pcs,
"Printed Paper (A4 Size )",Stationary,,,,,0.00,Pcs,
"Printed Paper (Legal Size )",Stationary,,,,,0.00,Pcs,
"Carbon Paper ",Stationary,,,,,0.00,Set,
"Red Leaf Board Marker Pen ",Stationary,,,,,0.00,Pcs,
"Colour /Marking Pencil Cut pencil",Stationary,,,,,0.00,Pcs,
"Magerment Tape ",Stationary,,,,,0.00,Pcs,
"Ball Pen ",Stationary,,,,,0.00,Pcs,
"High Light Pen ",Stationary,,,,,0.00,Pcs,
"Calculator ",Stationary,,,,,0.00,Pcs,
"Stapaler Machine ",Stationary,,,,,0.00,Pcs,
"Stapaler Pin",Stationary,,,,,0.00,Pcs,
"Chikon Thread ",Stationary,,,,,0.00,Pcs,
"Pin Remover ",Stationary,,,,,0.00,Pcs,
"Punch Machine",Stationary,,,,,0.00,Pcs,
"Office File ",Stationary,,,,,0.00,Pcs,
"Ring File ",Stationary,,,,,0.00,Pcs,
"Super Glue",Stationary,,,,,0.00,Pcs,
"Computer Cartridge",Stationary,,,,,0.00,Pcs,
"MRR Book ",Stationary,,,,,0.00,Pcs,
"SR Book ",Stationary,,,,,0.00,Pcs,
"Challan Book ",Stationary,,,,,0.00,Pcs,
"Gate Pass Book ",Stationary,,,,,0.00,Pcs,
"Labour Gate Pass ",Stationary,,,,,0.00,Pcs,
"Return Gate Pass",Stationary,,,,,0.00,Pcs,
"KHAM ",Stationary,,,,,0.00,Pcs,
"Banding Clip",Stationary,,,,,0.00,Pcs,
"Tapeplan test Report book",Stationary,,,,,0.00,Pcs,
"Store Purchase Book ",Stationary,,,,,0.00,Pcs,
"Floor Brash ",Stationary,,,,,0.00,Pcs,
"Chalk Pencil",Stationary,,,,,0.00,Pcs,
"Plastic Sandle (juta)",Stationary,,,,,0.00,Pcs,
Odonil,Stationary,,,,,0.00,Pcs,
"Anticutter Blade with Frame",Stationary,,,,,0.00,Pcs,
"Anticutter Blade ",Stationary,,,,,0.00,Pcs,
"Sharp Blade ",Stationary,,,,,0.00,Pcs,
"Wheel powder ",Stationary,,,,,0.00,Pcs,
"Vim Powder",Stationary,,,,,0.00,Pcs,
"Jet Powder ",Stationary,,,,,0.00,Pcs,
"Hand Gloves cotton ",Stationary,,,,,0.00,Pcs,
"Hand Gloves Rubber",Stationary,,,,,0.00,Pcs,
"Adhesive Gum",Stationary,,,,,0.00,Pcs,
"Chalk Powder ",Stationary,,,,,0.00,Pcs,
"Mosquito Coil",Stationary,,,,,0.00,Pcs,
"Pad Lock ",Stationary,,,,,0.00,Pcs,
Scissor,Stationary,,,,,0.00,Pcs,
"Jute Cloth",Stationary,,,,,0.00,Pcs,
"Shari Kapor ",Stationary,,,,,0.00,Pcs,
"Hand /Cleaning Brush",Stationary,,,,,0.00,Pcs,
"Plastic Mag",Stationary,,,,,0.00,Pcs,
"Jaru (FULL Strick)",Stationary,,,,,0.00,Pcs,
MUSK,Stationary,,,,,0.00,box,
Belcha,Stationary,,,,,0.00,Pcs,
"Savlon ",Stationary,,,,,0.00,Pcs,
"Phenyle ",Stationary,,,,,0.00,Pcs,
"Facial Tissue",Stationary,,,,,0.00,Pcs,
"Toilet Tissue",Stationary,,,,,0.00,set,
"Glass Cleaner",Stationary,,,,,0.00,Pcs,
"Finish Cleaner ",Stationary,,,,,0.00,Pcs,
"Tiles Cleaner ",Stationary,,,,,0.00,Pcs,
"Air Freshner ",Stationary,,,,,0.00,Pcs,
Aerosol,Stationary,,,,,0.00,Pcs,
"Bliching Powder ",Stationary,,,,,0.00,Pcs,
"Harpic ",Stationary,,,,,0.00,Pcs,
Vixol,Stationary,,,,,0.00,Pcs,
"Telcom Powder ",Stationary,,,,,0.00,Pcs,
"Lux Soap Mini ",Stationary,,,,,0.00,Pcs,
HAXISOL,Stationary,,,,,0.00,Pcs,
OrSaline,Stationary,,,,,0.00,Pcs,
Napa,Stationary,,,,,0.00,Pcs,
Sinamin,Stationary,,,,,0.00,Pcs,
Viodin,Stationary,,,,,0.00,Pcs,
Diclafanc,Stationary,,,,,0.00,Pcs,
"Entercyd plas",Stationary,,,,,0.00,Pcs,
"Onetime Bandes",Stationary,,,,,0.00,Pcs,
"AR Cylinder ",Mechanical,,,,,0.00,Pcs,
"Pouch M/C Cutting Blade ",Mechanical,,,,,0.00,Pcs,
"double protect Lifting Belt",Mechanical,,,,,0.00,Pcs,
"Bearing Shaft ",Mechanical,,,,,0.00,Pcs,
"Sadle Clamp",Mechanical,,,,,0.00,Pcs,
"Conside Wheel Adoptor ",Mechanical,,,,,0.00,Pcs,
"Magnet Holder Assy R6",Mechanical,,,,,0.00,Pcs,
"Heat Prof Silicon Tube",Mechanical,,,,,0.00,Pcs,
"Flat File ",Mechanical,,,,,0.00,Pcs,
"Piston Head Compressure ",Mechanical,,,,,0.00,Pcs,
"High Presser Rubber Pipe ",Mechanical,,,,,0.00,Pcs,
"Copper Bar",Mechanical,,,,,0.00,Pcs,
"Magnet Finger Ceramic",Mechanical,,,,,0.00,Pcs,
"Gas cutter Nazel",Mechanical,,,,,0.00,Pcs,
"Diafram Pump",Mechanical,,,,,0.00,Pcs,
"Break Spring Nova-6",Mechanical,,,,,0.00,Pcs,
"Muffler For Genset Colling tower",Mechanical,,,,,0.00,Pcs,
"Inseration Finger Ceramic",Mechanical,,,,,0.00,Pcs,
"Switch Water Level (Recondition)",Mechanical,,,,,0.00,Pcs,
"S S Wear Rof ",Mechanical,,,,,0.00,Pcs,
"Adhesive Heat Prof Tape ",Mechanical,,,,,0.00,Pcs,
"Swan Oil Meter ",Mechanical,,,,,0.00,Pcs,
Excel,Mechanical,,,,,0.00,Pcs,
"Roller BKT. Inner",Mechanical,,,,,0.00,Pcs,
"Roller BKT. Outer",Mechanical,,,,,0.00,Pcs,
"GSM Cutter Dia 113mm",Mechanical,,,,,0.00,Pcs,
"Bobin Holder Font",Mechanical,,,,,0.00,Pcs,
"Special Washer ",Mechanical,,,,,0.00,Pcs,
"Weft Ceramic with Finger holder ",Mechanical,,,,,0.00,Pcs,
"Ceramic Finger LSL-6",Mechanical,,,,,0.00,Pcs,
"Pressure Roller LSL-6",Mechanical,,,,,0.00,Pcs,
"Liner Cutting Cylinder ",Mechanical,,,,,0.00,Pcs,
"Hand Valve ",Mechanical,,,,,0.00,Pcs,
"Air Pressure Meter ",Mechanical,,,,,0.00,Pcs,
"Upper  Heddle Belt 230*98*10",Mechanical,,,,,396.00,Pcs,
"Gas Pressure Regulator DN-25",Mechanical,,,,,0.00,Pcs,
"Lower Heddle Belt 460*98*10",Mechanical,,,,,100.00,Pcs,
"Air Pipe Heat Prof ",Mechanical,,,,,0.00,Pcs,
"Heddle Belt Lower 455*110*15",Mechanical,,,,,354.00,Pcs,
"Combination Plars ",Mechanical,,,,,0.00,Pcs,
"Lower Belt 455*122*18",Mechanical,,,,,654.00,Pcs,
"Spray Nozzel Cooling Tower ",Mechanical,,,,,0.00,Pcs,
"Swing Lever ",Mechanical,,,,,62.00,Pcs,
"jockey Lever ",Mechanical,,,,,161.00,Pcs,
"Warp Guide ",Mechanical,,,,,73.00,Pcs,
"Warp Guide  Bracket ",Mechanical,,,,,119.00,Pcs,
"Warp Guide  Bracket ",Mechanical,,,,,255.00,Pcs,
"Warp Guide ",Mechanical,,,,,144.00,Pcs,
"Cam Roller 45MM",Mechanical,,,,,86.00,Pcs,
"Shuttle Wheel XR",Mechanical,,,,,102.00,Set,
"Chochoid Roller-6001",Mechanical,,,,,72.00,Pcs,
"Stopper Roller Brg 6001",Mechanical,,,,,38.00,Pcs,
"Foam Washer ",Mechanical,,,,,500.00,Pcs,
"Pusher Roller p",Mechanical,,,,,50.00,Pcs,
"Pusher Roller 6000 Bearing ",Mechanical,,,,,47.00,Pcs,
"Shuttle Wheel",Mechanical,,,,,46.00,Pcs,
"Shuttle Wheel Red",Mechanical,,,,,50.00,Pcs,
"Stopper Wheel p",Mechanical,,,,,39.00,Pcs,
"Shuttle Wheel",Mechanical,,,,,100.00,Pcs,
"Tracker Roller 50MM",Mechanical,,,,,160.00,Pcs,
"Chonchoid Wheel P",Mechanical,,,,,20.00,Pcs,
"Chonchoid Roller 6001",Mechanical,,,,,20.00,Pcs,
"Chon  Roller Big ",Mechanical,,,,,25.00,Pcs,
"Chonchoid Wheel ",Mechanical,,,,,9.00,Pcs,
"Pusher Roller Platic Insert",Mechanical,,,,,50.00,Pcs,
"Pusher Roller 6000 ",Mechanical,,,,,25.00,Pcs,
"Pusher Roller R",Mechanical,,,,,19.00,Pcs,
"Pusher Roller Bearing 6000",Mechanical,,,,,125.00,Pcs,
"Pusher Roller Platic Insert",Mechanical,,,,,25.00,Pcs,
"Pusher Wheel -M65/S",Mechanical,,,,,200.00,Pcs,
"Hook Bend",Mechanical,,,,,72.00,Pcs,
"Wire Guide ",Mechanical,,,,,6.00,Pcs,
"Bearing Block",Mechanical,,,,,139.00,Pcs,
"Difflacting Pully",Mechanical,,,,,573.00,Pcs,
"Steel Boom Holder ",Mechanical,,,,,49.00,Pcs,
" Boom Holder  Plastic",Mechanical,,,,,241.00,Pcs,
"Heild Wire ",Mechanical,,,,,5000.00,Pcs,
"Warp Guide ",Mechanical,,,,,40.00,Pcs,
"Upper  Bearing Block",Mechanical,,,,,104.00,Pcs,
"Lower Bearing Block",Mechanical,,,,,90.00,Pcs,
"Upper  Bearing Block",Mechanical,,,,,113.00,Pcs,
"Weaving Ring Holder ",Mechanical,,,,,165.00,Pcs,
"Boom Holder ",Mechanical,,,,,175.00,Pcs,
" Steel Boom Holder ",Mechanical,,,,,145.00,Pcs,
"Top Bearing Block",Mechanical,,,,,44.00,Pcs,
"Shuttle Roller Cap ",Mechanical,,,,,1634.00,Pcs,
"Bearing Block",Mechanical,,,,,67.00,Pcs,
"Bearing Block Small",Mechanical,,,,,274.00,Pcs,
"Warp Guide Rod ",Mechanical,,,,,280.00,Pcs,
"Chain Spray",Mechanical,,,,,2.00,Pcs,
Shuttle,Mechanical,,,,,0.00,Pcs,
"Shuttle Body Plastic",Mechanical,,,,,0.00,Pcs,
"Lower Bearing Block",Mechanical,,,,,0.00,Pcs,
"Upper Bearing Block M.S",Mechanical,,,,,0.00,set,
"Shuttle Roller Cap",Mechanical,,,,,0.00,Pcs,
Separator,Mechanical,,,,,0.00,Pcs,
Clamp,Mechanical,,,,,0.00,Pcs,
"Shuttle Guide ",Mechanical,,,,,0.00,box,
"Deflecting Pully All size LSL-6",Mechanical,,,,,0.00,Pcs,
"Pressure Plate/Tention Pad",Mechanical,,,,,0.00,Pcs,
"Brake Bearing",Mechanical,,,,,0.00,Pcs,
"Shuttle Roller LSL-6",Mechanical,,,,,0.00,Pcs,
"Lever Magnet",Mechanical,,,,,0.00,set,
"Lever Holder Set",Mechanical,,,,,0.00,Pcs,
"Finger Holder",Mechanical,,,,,0.00,Pcs,
"Pusher Roller",Mechanical,,,,,0.00,Pcs,
"Connectg strip",Mechanical,,,,,0.00,Pcs,
"Bobin Flangs Washer",Mechanical,,,,,0.00,Pcs,
"Shuttle body steel LSL-610",Mechanical,,,,,0.00,Pcs,
"Leather Pad",Mechanical,,,,,0.00,Pcs,
"BOOm Holder Plastic",Mechanical,,,,,0.00,Pcs,
"S.S Plate",Mechanical,,,,,0.00,Pcs,
"S.S Cable Tray",Mechanical,,,,,0.00,Pcs,
"S.S Shaft",Mechanical,,,,,0.00,Pcs,
"Shaft (U-3)",Mechanical,,,,,0.00,Pcs,
"Stopper Roller LSL-6",Mechanical,,,,,0.00,Pcs,
"Excenter Roller (610-620-FSN-4)",Mechanical,,,,,0.00,Pcs,
"Warp Guide",Mechanical,,,,,0.00,Pcs,
"Connecting Plate ",Mechanical,,,,,0.00,Pcs,
"Choncoid Roller LSL-6",Mechanical,,,,,0.00,Pcs,
"Shuttle Wheel (LSL-6)",Mechanical,,,,,0.00,Pcs,
"Chonchoid Roller (610-620-FSN-4)",Mechanical,,,,,0.00,Pcs,
"Shuttle Wheeel(610-620-FSN-4)",Mechanical,,,,,0.00,Pcs,
"Warp Compensator",Mechanical,,,,,0.00,Pcs,
"Swinging Lever",Mechanical,,,,,0.00,Pcs,
Spacer,Mechanical,,,,,0.00,Pcs,
"M.S Roll Pins",Mechanical,,,,,0.00,Pcs,
"Eccentric roller Nova-6",Mechanical,,,,,0.00,Pcs,
"Lever Holder",Mechanical,,,,,0.00,Pcs,
"Upper Headle Belt",Mechanical,,,,,0.00,Pcs,
"Lower Headle Belt",Mechanical,,,,,0.00,Pcs,
"Jockey Lever LSL-6",Mechanical,,,,,0.00,Pcs,
"Bearrring Block Rear",Mechanical,,,,,0.00,Pcs,
"Ink Motor",Mechanical,,,,,0.00,Pcs,
"Koraj upper",Mechanical,,,,,0.00,Pcs,
"Koraj Lower",Mechanical,,,,,0.00,Pcs,
"Hoose Clamp",Mechanical,,,,,0.00,Pcs,
"Printing M/C Tray",Mechanical,,,,,0.00,Pcs,
"P.V.C Fether",Mechanical,,,,,0.00,Pcs,
"P.V.C Piniom",Mechanical,,,,,0.00,Pcs,
"Bobin Disk",Mechanical,,,,,0.00,Pcs,
"Separator Nut",Mechanical,,,,,0.00,Pcs,
"Separator Holder",Mechanical,,,,,0.00,Pcs,
Shaft,Mechanical,,,,,0.00,Pcs,
"M.S Bush",Mechanical,,,,,0.00,Pcs,
"Pusher Roller Cap Steel",Mechanical,,,,,0.00,Pcs,
"Shuttle Nose",Mechanical,,,,,0.00,Pcs,
Cap,Mechanical,,,,,0.00,Pcs,
"Synthetic Flexible Pipe",Mechanical,,,,,0.00,Pcs,
"Deflecting Bolt",Mechanical,,,,,0.00,Pcs,
"Big P.V.C Clamp",Mechanical,,,,,0.00,Pcs,
"Bearing Block Back P.V.C",Mechanical,,,,,0.00,Pcs,
"Bearing Block Floating P.V.C",Mechanical,,,,,0.00,Pcs,
"Axle Bolt",Mechanical,,,,,0.00,Pcs,
"Spring All",Mechanical,,,,,0.00,Pcs,
"Ring Hose pipe / Hose pipe ",Mechanical,,,,,0.00,Pcs,
"Excenter Bolt",Mechanical,,,,,0.00,Pcs,
"Plastic Shuttle Body",Mechanical,,,,,0.00,Pcs,
"Simta Joining Press",Mechanical,,,,,0.00,Pcs,
"Boom Holder Steel",Mechanical,,,,,0.00,Pcs,
Axle,Mechanical,,,,,0.00,Pcs,
"Bearing Block Front",Mechanical,,,,,0.00,Pcs,
"Stopper Wheel",Mechanical,,,,,0.00,Pcs,
"Spring Strecher",Mechanical,,,,,0.00,Pcs,
"Weft Guide",Mechanical,,,,,0.00,Pcs,
"Tention Bolt",Mechanical,,,,,0.00,Pcs,
"Ecemtic Bolt",Mechanical,,,,,0.00,Pcs,
"Bobin Holder Big",Mechanical,,,,,0.00,Pcs,
"Bobin Holder Small",Mechanical,,,,,0.00,Pcs,
"Ceramic Bush",Mechanical,,,,,0.00,Pcs,
"Dowel Pin ",Mechanical,,,,,0.00,Pcs,
"Connecting Strip",Mechanical,,,,,0.00,Pcs,
"Connecting Plate BIG",Mechanical,,,,,0.00,Pcs,
"P.V.C Clamp",Mechanical,,,,,0.00,Pcs,
"Bearing Cover",Mechanical,,,,,0.00,Pcs,
"P.V.C Bearing",Mechanical,,,,,0.00,Pcs,
"Adjusting Ring P.V.C",Mechanical,,,,,0.00,Pcs,
"Clamp left",Mechanical,,,,,0.00,Pcs,
"Bush For Spring",Mechanical,,,,,0.00,Pcs,
"Clamp Right",Mechanical,,,,,0.00,Pcs,
"S.S Clamp Shuttle Guide ",Mechanical,,,,,0.00,Pcs,
"P.V.C Clamp Shuttle Guide",Mechanical,,,,,0.00,Pcs,
Separator,Mechanical,,,,,0.00,Pcs,
"Clamp Warp Guide",Mechanical,,,,,0.00,Pcs,
"Bobin Holder Rear",Mechanical,,,,,0.00,Pcs,
"Bobin Holder Back",Mechanical,,,,,0.00,Pcs,
"Stopper Roller(610-620-FSN-4)",Mechanical,,,,,0.00,Pcs,
"Cam Roller FSN-4",Mechanical,,,,,0.00,Pcs,
"Shuttle Roller FSN-4",Mechanical,,,,,0.00,Pcs,
"Chain Spray ",Mechanical,,,,,0.00,Pcs,
"Moe Master Torque Wreng",Mechanical,,,,,0.00,Pcs,
"Gear Shaft ",Mechanical,,,,,0.00,Pcs,
"Adusting Rode",Mechanical,,,,,0.00,Pcs,
Ret,Mechanical,,,,,0.00,Pcs,
"Gear Piniom",Mechanical,,,,,0.00,Pcs,
Chain,Mechanical,,,,,0.00,Pcs,
"Chain Lock",Mechanical,,,,,0.00,Pcs,
"Shuttle Roller",Mechanical,,,,,0.00,Pcs,
"Chonchoid Roller LSL-6",Mechanical,,,,,0.00,Pcs,
"Excenter Roller ",Mechanical,,,,,0.00,Pcs,
"Automatice Drain Valve ",Mechanical,,,,,0.00,Pcs,
Axle,Mechanical,,,,,0.00,Pcs,
"Shuttle Wheel",Mechanical,,,,,0.00,Pcs,
"Bearing Block Front",Mechanical,,,,,0.00,Pcs,
"Cam Roller",Mechanical,,,,,0.00,Pcs,
"Connecting Rode",Mechanical,,,,,0.00,Pcs,
"Off Guide Holder ",Mechanical,,,,,0.00,Pcs,
"Bronze Bush",Mechanical,,,,,0.00,Pcs,
Adopter,Mechanical,,,,,0.00,Pcs,
"Habacit Gum",Mechanical,,,,,0.00,Pcs,
" Pinom L/C",Mechanical,,,,,0.00,Pcs,
"Connecting Strip",Mechanical,,,,,0.00,Pcs,
"Connecting Strip Small",Mechanical,,,,,0.00,Pcs,
"Bobin Holder",Mechanical,,,,,0.00,Pcs,
"Clamp P.V.C",Mechanical,,,,,0.00,Pcs,
"Clamp Right",Mechanical,,,,,0.00,Pcs,
"Ecentric Axle",Mechanical,,,,,0.00,Pcs,
"Compensator Spring",Mechanical,,,,,0.00,Pcs,
"Bobin Flangs ",Mechanical,,,,,0.00,Pcs,
"HILD WIRE",Mechanical,,,,,0.00,Pcs,
Mailons,Mechanical,,,,,0.00,Pcs,
"Fome Roller",Mechanical,,,,,0.00,Pcs,
"Bearing Chanal HCH 15CA",Mechanical,,,,,0.00,Pcs,
"Finger Holder",Mechanical,,,,,0.00,Pcs,
"Pneumatic Pipe",Mechanical,,,,,0.00,Pcs,
"Shuttle Assy New",Mechanical,,,,,0.00,Pcs,
"Cloth Adjusting",Mechanical,,,,,0.00,Pcs,
"Round Holder",Mechanical,,,,,0.00,Pcs,
"Ring Holder",Mechanical,,,,,0.00,Pcs,
"Weight Bar",Mechanical,,,,,0.00,Pcs,
"Oil Pump",Mechanical,,,,,0.00,Pcs,
"Cylinder Base",Mechanical,,,,,0.00,Pcs,
"M.S Hoose Pipe",Mechanical,,,,,0.00,Pcs,
"Tandom Lamination Die",Mechanical,,,,,0.00,Pcs,
"Stopper Wheel LSM-6",Mechanical,,,,,0.00,Pcs,
"M.S Flangs",Mechanical,,,,,0.00,Pcs,
"Daya changing Ring For Loom",Mechanical,,,,,0.00,Pcs,
"Inseration Finger Pipe",Mechanical,,,,,0.00,Pcs,
"Caster Wheel 6"" Breaker",Mechanical,,,,,0.00,Pcs,
"Caster Wheel 3"" Fixed",Mechanical,,,,,0.00,Pcs,
"Double Chain 12B- LR",Mechanical,,,,,0.00,Pcs,
"Cutting Plus / Monkey Plus ",Mechanical,,,,,0.00,Pcs,
"3.7kw Inverter",Mechanical,,,,,0.00,Pcs,
"PLC Dalta ",Mechanical,,,,,0.00,Pcs,
"Non Retrun Valve ",Mechanical,,,,,0.00,Pcs,
"BM 50 Grease ",Mechanical,,,,,0.00,Pcs,
"Element Pre Cleaner",Mechanical,,,,,0.00,Pcs,
"FRL Unit ",Mechanical,,,,,0.00,Pcs,
"Ceramic Finger Nova - 6",Mechanical,,,,,0.00,Pcs,
"S. S Hoose Pipe",Mechanical,,,,,0.00,Pcs,
"Air Gun",Mechanical,,,,,0.00,Pcs,
"Conchoid Wheel",Mechanical,,,,,0.00,Pcs,
"Hoper Motor ",Mechanical,,,,,0.00,Pcs,
"Alueminume Label Meter",Mechanical,,,,,0.00,Pcs,
"Pitol Chalk Valve",Mechanical,,,,,0.00,Pcs,
"3 Fase Motor 4kw 5.5HP 580 Rpm",Mechanical,,,,,0.00,Pcs,
"Chamical Pump ",Mechanical,,,,,0.00,Pcs,
"Deflecting Pully All Size Nova-6",Mechanical,,,,,0.00,Pcs,
"Connecting Plate Nova-6",Mechanical,,,,,0.00,Pcs,
"Lever Holder Nova-6",Mechanical,,,,,0.00,Pcs,
"Brake Bearing Nova-6",Mechanical,,,,,0.00,Pcs,
"Stopper Roller Nova-6",Mechanical,,,,,0.00,Pcs,
"Choncoid Roller Nova-6",Mechanical,,,,,0.00,Pcs,
"Cam Roller Nova-6",Mechanical,,,,,0.00,Pcs,
"Pusher Wheel Nova-6",Mechanical,,,,,0.00,Pcs,
"Hexo Blade",Mechanical,,,,,0.00,Pcs,
"Magnate Holder Nova-6 ",Mechanical,,,,,0.00,Pcs,
"Lower Pully Block Nova-6",Mechanical,,,,,0.00,Pcs,
"Upper Bearing Block Nova -6 ",Mechanical,,,,,0.00,Pcs,
"Stopper Wheel Nova - 6",Mechanical,,,,,0.00,Pcs,
"Upper Headle Belt Nova-6",Mechanical,,,,,0.00,Pcs,
"Lower Headle Belt Nova-6",Mechanical,,,,,0.00,Pcs,
"Shuttle Wheel Nova - 6 ",Mechanical,,,,,0.00,Pcs,
"Shuttle Guide Nova -6",Mechanical,,,,,0.00,Pcs,
"Rear Bearing Block Nova-6",Mechanical,,,,,0.00,Pcs,
"Guider Nose Nova-6",Mechanical,,,,,0.00,Pcs,
"Weft Guide Holder Front Nova-6",Mechanical,,,,,0.00,Pcs,
"Weft Guide Holder Rear Nova-6",Mechanical,,,,,0.00,Pcs,
"Choncoid Wheel Nova-6",Mechanical,,,,,0.00,Pcs,
"Pin Front Bearing Block Nova-6",Mechanical,,,,,0.00,Pcs,
"Shuttle Rollar Nova-6",Mechanical,,,,,0.00,Pcs,
"Eccentric Adoptor Nova-6",Mechanical,,,,,0.00,Pcs,
"Stopper Wheel Adoptor Nova-6",Mechanical,,,,,0.00,Pcs,
"Spauer Pusher Roller Nova-6",Mechanical,,,,,0.00,Pcs,
"Stoper Wheel Nova-6",Mechanical,,,,,0.00,Pcs,
"Ceramic Guide ",Mechanical,,,,,0.00,Pcs,
"Washer Eccentric Axle Nova-6",Mechanical,,,,,0.00,Pcs,
"Shuttle Roller Nova -6",Mechanical,,,,,0.00,Pcs,
"Hoose Pipe ",Mechanical,,,,,0.00,Pcs,
"PVC Rubber Wheel",Mechanical,,,,,0.00,Pcs,
"Folding Finger Pipe ",Mechanical,,,,,0.00,Pcs,
"Rubber Hand Gloves",Mechanical,,,,,24.00,Pcs,
"High Temprature Grease ",Mechanical,,,,,0.00,Pcs,
