"Product Name",Category,"Parts No","Rack No","Column No","Available unit","Unit type","Brand Name"
"Heild Wire ",Mechanical,,,,,2000.00,Pcs,
"Controlar ",Mechanical,,,,,0.00,Pcs,
"Lower Heddle Belt 465*98*10",Mechanical,,,,,59.00,Pcs,
"Hook Type Boom Holder",Mechanical,,,,,0.00,Pcs,
Screw-SC103212,BCS,,,,,11.00,Pcs,
Screw-22561,BCS,,,,,12.00,Pcs,
Screw-22894-AA,BCS,,,,,0.00,Pcs,
Screw-22653L-8,BCS,,,,,5.00,Pcs,
"Tention Nut -512926",BCS,,,,,7.00,Pcs,
"Nut -258",BCS,,,,,34.00,Pcs,
Nut-51246,BCS,,,,,11.00,pes,
Nut-12934A,BCS,,,,,19.00,Pcs,
Nut-18,BCS,,,,,26.00,Pcs,
Nut-269,BCS,,,,,21.00,Pcs,
"Tention Nut -43266",BCS,,,,,25.00,Pcs,
Washer-245261,BCS,,,,,15.00,Pcs,
Washer-20,BCS,,,,,14.00,Pcs,
"Thread Guide -775181",BCS,,,,,7.00,Pcs,
"Feed Rocker",BCS,,,,,0.00,Pcs,
"Rubber  Washer",BCS,,,,,30.00,Pcs,
Washer-31341,BCS,,,,,4.00,Pcs,
Washer-80557,BCS,,,,,0.00,Pcs,
Washer-21657E,BCS,,,,,28.00,Pcs,
Washer-61311J,BCS,,,,,3.00,Pcs,
"Washer -2W5",BCS,,,,,30.00,Pcs,
"Washer -6042A",BCS,,,,,0.00,Pcs,
Washer-56350F,BCS,,,,,8.00,Pcs,
"Washer -51250D",BCS,,,,,0.00,Pcs,
"Rubber  Pad ",BCS,,,,,181.00,Pcs,
Screw-22559G,BCS,,,,,0.00,Pcs,
Screw-22525A,BCS,,,,,0.00,Pcs,
"Main Shaft Head -774061",BCS,,,,,4.00,Pcs,
"Feed Crank Stud-56336D",BCS,,,,,4.00,Pcs,
"Needle Ball Joint-772031A",BCS,,,,,4.00,Pcs,
"Looper Rocker-56313",BCS,,,,,3.00,Pcs,
"Compressor Spring 1169014610",BCS,,,,,2.00,Pcs,
"Looper Spring -51292F-2",BCS,,,,,2.00,Pcs,
"Tention Spring -51292F-8",BCS,,,,,0.00,Pcs,
"Spring -B699066106",BCS,,,,,1.00,Pcs,
"CirClip ",BCS,,,,,43.00,Pcs,
"Quad Ring -660-269B",BCS,,,,,3.00,Pcs,
"Ring  Rubber -772051",BCS,,,,,19.00,Pcs,
"Retainirage Ring -660-438",BCS,,,,,14.00,Pcs,
"Retainirage Ring -660-215",BCS,,,,,132.00,Pcs,
"Oil Wick-CL-21",BCS,,,,,8.00,Pcs,
"Wire Needle Take up -775191",BCS,,,,,2.00,Pcs,
"Looper Stud -51745",BCS,,,,,1.00,Pcs,
"Bell Crank Spring -56383D",BCS,,,,,2.00,Pcs,
"O Ring -32LS56",BCS,,,,,0.00,Pcs,
"Filter Oil-35897BV",BCS,,,,,13.00,Pcs,
"Ball Joint Guide -56343C",BCS,,,,,6.00,Pcs,
"Finger Spring ",BCS,,,,,22.00,Pcs,
"Oil Wick-755181",BCS,,,,,21.00,Pcs,
"Feed Crank  Shaft -57836B",BCS,,,,,0.00,Pcs,
"Needle Bar Bushing -32151",BCS,,,,,0.00,Pcs,
"Needle Bar Bushing -32161",BCS,,,,,5.00,Pcs,
"Needle Bar -51254K",BCS,,,,,9.00,Pcs,
"Chira Pin",BCS,,,,,0.00,Pcs,
"Looper Throat (Revo)502568",BCS,,,,,2.00,Pcs,
"Main Shaft-56190",BCS,,,,,0.00,Pcs,
"Pressure Bar -51257AA",BCS,,,,,5.00,Pcs,
"Looper Connecting -753111",BCS,,,,,6.00,Pcs,
"Needle Bar Bush-56154E ",BCS,,,,,8.00,Pcs,
"Throat Plate -774141",BCS,,,,,4.00,Pcs,
"Looper Rocker Shaft -50895BLK",BCS,,,,,0.00,Pcs,
"Ball  Joint -57841",BCS,,,,,14.00,Pcs,
"Main Shaft  Bushing- 56390G",BCS,,,,,8.00,Pcs,
"Looper Driving Shaft -502787",BCS,,,,,2.00,Pcs,
"Connecting Link 56354D",BCS,,,,,10.00,Pcs,
"Feed Dog -50282",BCS,,,,,0.00,Pcs,
"Pressure Bar -5125744",BCS,,,,,0.00,Pcs,
"Looper  Avoid -29476NM-096",BCS,,,,,5.00,Pcs,
"Looper Rocker-56344B",BCS,,,,,7.00,Pcs,
"Looper Driver  Lever -56342E",BCS,,,,,1.00,Pcs,
"Looper Holder Collar -773081",BCS,,,,,11.00,Pcs,
"Bearing Case Assy -294761V",BCS,,,,,16.00,Pcs,
"Pressure Foot Assy -772091A",BCS,,,,,6.00,Pcs,
"Looper Driver  Lever -29105AK ",BCS,,,,,1.00,Pcs,
"Needle Guard -774121",BCS,,,,,11.00,Pcs,
"Looper Rocker -56344C",BCS,,,,,2.00,Pcs,
"Needle Roller -51216M",BCS,,,,,222.00,Pcs,
"Tention  Post -51292",BCS,,,,,4.00,Pcs,
"Link Pin 5236A",BCS,,,,,28.00,Pcs,
"Feed Bar Shaft 56334B",BCS,,,,,0.00,Pcs,
"Needle Thread -35043",BCS,,,,,0.00,Pcs,
"Needle Thread Take -772101",BCS,,,,,1.00,Pcs,
"Over Load Knife Set",BCS,,,,,0.00,Pcs,
"Allen Key Screw",BCS,,,,,0.00,Pcs,
" sewing Needle all size ",BCS,,,,,391.00,Pcs,
"Pressure Foot -772151",BCS,,,,,4.00,Pcs,
"Cone -15465F",BCS,,,,,19.00,Pcs,
"Feed Crank-56316",BCS,,,,,0.00,Pcs,
"Pressure Foot -772151A",BCS,,,,,7.00,Pcs,
"Needle Lever /Connecting Rod -56316",BCS,,,,,10.00,Pcs,
"Air Nojjel ",BCS,,,,,6.00,Pcs,
"Ferrul -56341F ",BCS,,,,,15.00,Pcs,
"Tention Post -51192G",BCS,,,,,7.00,Pcs,
"Link Pin 52336A",BCS,,,,,0.00,Pcs,
"Needle Holder -772081",BCS,,,,,47.00,Pcs,
"Looper Threat Take-56123",BCS,,,,,1.00,Pcs,
"Connecting Rod -56316C",BCS,,,,,6.00,Pcs,
"Compressur Spring -1150190300",BCS,,,,,2.00,Pcs,
"Tall Bush ",BCS,,,,,1.00,Pcs,
"Looper Rocket Shaft ",BCS,,,,,0.00,Pcs,
Screw-22528,BCS,,,,,71.00,Pcs,
Screw-98A,BCS,,,,,8.00,Pcs,
Screw-22839C,BCS,,,,,37.00,Pcs,
Screw-22894D,BCS,,,,,75.00,Pcs,
Screw-77,BCS,,,,,30.00,Pcs,
Screw-22882C,BCS,,,,,15.00,Pcs,
Screw-22894C,BCS,,,,,0.00,Pcs,
Screw-22758C,BCS,,,,,17.00,Pcs,
Screw-22524,BCS,,,,,102.00,Pcs,
Screw-73,BCS,,,,,12.00,Pcs,
Screw-89,BCS,,,,,69.00,Pcs,
Screw-22543B,BCS,,,,,12.00,Pcs,
Screw-9/64540052,BCS,,,,,10.00,Pcs,
Screw-D90,BCS,,,,,15.00,Pcs,
Screw-91D,BCS,,,,,8.00,Pcs,
Screw-80,BCS,,,,,37.00,Pcs,
Screw-22829,BCS,,,,,91.00,Pcs,
Screw-18254002,BCS,,,,,83.00,Pcs,
Screw-22801,BCS,,,,,18.00,Pcs,
Screw-22874,BCS,,,,,4.00,Pcs,
Screw-22557G,BCS,,,,,2.00,Pcs,
Screw-87,BCS,,,,,28.00,Pcs,
Screw-22839C,BCS,,,,,0.00,Pcs,
Screw-22637P-24,BCS,,,,,18.00,Pcs,
"Alumnium Finger ",BCS,,,,,0.00,Pcs,
"Looper Connecting -502780",BCS,,,,,0.00,Pcs,
"Alumnium Pinium ",BCS,,,,,5.00,Pcs,
"Alumnium Pinium ",BCS,,,,,10.00,Pcs,
"Needle Bar Shaft",BCS,,,,,0.00,Pcs,
"Coupling -56343F ",BCS,,,,,6.00,Pcs,
"Feed Bar -774131",BCS,,,,,1.00,Pcs,
"Spare Parts -D04003",BCS,,,,,0.00,Pcs,
Stud,BCS,,,,,9.00,Pcs,
"CirClip ",BCS,,,,,166.00,Pcs,
"Main Shaft -56122A",BCS,,,,,0.00,Pcs,
"Bushing Main Shaft -56390",BCS,,,,,8.00,Pcs,
"Needle Bar Bushing -51154E",BCS,,,,,6.00,Pcs,
"Feed Crank Link Assy-56336B",BCS,,,,,1.00,Pcs,
"Link Ball -B699059136",BCS,,,,,4.00,Pcs,
"Looper Divier Lever-56342E",BCS,,,,,1.00,Pcs,
"Looper Rocker Shaft Bushing ",BCS,,,,,5.00,Pcs,
"Oik Felt ",BCS,,,,,10.00,Pcs,
"Treat Cutter ",BCS,,,,,21.00,Pcs,
"Screw -22653L",BCS,,,,,35.00,Pcs,
Screw-22559G,BCS,,,,,8.00,Pcs,
Screw-22525A,BCS,,,,,5.00,Pcs,
"Feed Dog ",BCS,,,,,13.00,Pcs,
"Lifter Lever",BCS,,,,,4.00,Pcs,
"Oil Pum-59493A",BCS,,,,,2.00,Pcs,
"Feed Dog Holder Nut -563342",BCS,,,,,3.00,Pcs,
Screw-50266,BCS,,,,,30.00,Pcs,
"Looper Drving Lever-1100150-950",BCS,,,,,8.00,Pcs,
"Needle Thread Controller-035043",BCS,,,,,2.00,Pcs,
"Link Pin -52336A",BCS,,,,,20.00,Pcs,
"Link Pin-52336A",BCS,,,,,20.00,Pcs,
"SEWING Needle H 202295",BCS,,,,,14.00,Pcs,
"SEWING Needle 40*1970",BCS,,,,,6.00,Pcs,
"Main Shafy Bush 56190",BCS,,,,,2.00,Pcs,
"Pressure Bar Conncction Guide 51257M",BCS,,,,,3.00,Pcs,
"Tension Disc109",BCS,,,,,40.00,Pcs,
"Ferrul F2-511923",BCS,,,,,7.00,Pcs,
"Tension Thread Eyelet-51192G",BCS,,,,,14.00,Pcs,
"Tension Post  Eyelet-51192G",BCS,,,,,10.00,Pcs,
"Tension Spring 51292F",BCS,,,,,5.00,Pcs,
"Looper Drive Rocket -773071",BCS,,,,,7.00,Pcs,
"Feed Crank Stud-56336",BCS,,,,,5.00,Pcs,
"Feed Dog 774158",BCS,,,,,9.00,Pcs,
"Throad  Plate 774148",BCS,,,,,3.00,Pcs,
"Pressure Foot Stud -56334L",BCS,,,,,21.00,Pcs,
"Looper 773091",BCS,,,,,6.00,Pcs,
"Puessure Bar Bushing 032211",BCS,,,,,13.00,Pcs,
"Needle Lever ball Joint 772031A",BCS,,,,,1.00,Pcs,
A-35,Belts,,,,,5.00,Pcs,
B-89,Belts,,,,,1.00,Pcs,
HM-70,Belts,,,,,27.00,Pcs,
A-65,Belts,,,,,1.00,Pcs,
C-65,Belts,,,,,2.00,Pcs,
A-71,Belts,,,,,1.00,Pcs,
HM-71,Belts,,,,,3.00,Pcs,
A-22,Belts,,,,,4.00,Pcs,
A61,Belts,,,,,2.00,Pcs,
A-65,Belts,,,,,1.00,Pcs,
HM,Belts,,,,,1.00,Pcs,
A-30,Belts,,,,,1.00,Pcs,
B-75,Belts,,,,,1.00,Pcs,
B-61,Belts,,,,,1.00,Pcs,
A-30,Belts,,,,,1.00,Pcs,
B-80,Belts,,,,,1.00,Pcs,
"V BELT32",Belts,,,,,6.00,Pcs,
B-69,Belts,,,,,1.00,Pcs,
"A105 Seet Free",Belts,,,,,1.00,Pcs,
A-105,Belts,,,,,3.00,Pcs,
A-34,Belts,,,,,5.00,Pcs,
A-21,Belts,,,,,3.00,Pcs,
A-30,Belts,,,,,5.00,Pcs,
B-28,Belts,,,,,1.00,Pcs,
A-61,Belts,,,,,4.00,Pcs,
A36,Belts,,,,,4.00,Pcs,
HM-34,Belts,,,,,2.00,Pcs,
A-34,Belts,,,,,2.00,Pcs,
A-33,Belts,,,,,3.00,Pcs,
M-30,Belts,,,,,1.00,Pcs,
C-63,Belts,,,,,1.00,Pcs,
C-65,Belts,,,,,1.00,Pcs,
B-68,Belts,,,,,1.00,Pcs,
B-72,Belts,,,,,1.00,Pcs,
A-71,Belts,,,,,3.00,Pcs,
B-8,Belts,,,,,3.00,Pcs,
B-78,Belts,,,,,3.00,Pcs,
B-72,Belts,,,,,3.00,Pcs,
B-44,Belts,,,,,4.00,Pcs,
B-102,Belts,,,,,6.00,Pcs,
A-39,Belts,,,,,5.00,Pcs,
B-76,Belts,,,,,2.00,Pcs,
A-26,Belts,,,,,0.00,Pcs,
A-35,Belts,,,,,0.00,Pcs,
A-51,Belts,,,,,0.00,Pcs,
A-55,Belts,,,,,0.00,Pcs,
A-65,Belts,,,,,0.00,Pcs,
A-68,Belts,,,,,0.00,Pcs,
A-105,Belts,,,,,0.00,Pcs,
A-22,Belts,,,,,0.00,Pcs,
A-28,Belts,,,,,0.00,Pcs,
A-36,Belts,,,,,0.00,Pcs,
A-39,Belts,,,,,0.00,Pcs,
A-107,Belts,,,,,0.00,Pcs,
A-33,Belts,,,,,0.00,Pcs,
A-30,Belts,,,,,0.00,Pcs,
A-34,Belts,,,,,0.00,Pcs,
M-34,Belts,,,,,0.00,Pcs,
B-56,Belts,,,,,0.00,Pcs,
B-68,Belts,,,,,0.00,Pcs,
B-72,Belts,,,,,0.00,Pcs,
B-80,Belts,,,,,0.00,Pcs,
B-78,Belts,,,,,0.00,Pcs,
B-84,Belts,,,,,0.00,Pcs,
B-85,Belts,,,,,0.00,Pcs,
B-89,Belts,,,,,0.00,Pcs,
B-90,Belts,,,,,0.00,Pcs,
B-79,Belts,,,,,0.00,Pcs,
B-83,Belts,,,,,0.00,Pcs,
B-28,Belts,,,,,0.00,Pcs,
B-38,Belts,,,,,0.00,Pcs,
B-75,Belts,,,,,0.00,Pcs,
B-76,Belts,,,,,0.00,Pcs,
M-36,Belts,,,,,0.00,Pcs,
M-37,Belts,,,,,0.00,Pcs,
M-38,Belts,,,,,0.00,Pcs,
M-39,Belts,,,,,0.00,Pcs,
M-40,Belts,,,,,0.00,Pcs,
M-41,Belts,,,,,0.00,Pcs,
SPA-2682LW,Belts,,,,,0.00,Pcs,
HM-70,Belts,,,,,0.00,Pcs,
SPA-2682LW,Belts,,,,,0.00,Pcs,
STS-260058M,Belts,,,,,0.00,Pcs,
HTD-720*8M,Belts,,,,,13.00,Pcs,
SPAX-1557LW,Belts,,,,,6.00,Pcs,
RECMF-9650,Belts,,,,,0.00,Pcs,
SPAX-1950LW,Belts,,,,,6.00,Pcs,
"HTD 1120*8M",Belts,,,,,1.00,Box,
XPA-1000,Belts,,,,,5.00,Pcs,
HTD-640*8M,Belts,,,,,15.00,Pcs,
"STD1120 58M",Belts,,,,,0.00,Pcs,
HTD960*8M,Belts,,,,,1.00,Pcs,
"RPPP880 P8M",Belts,,,,,0.00,Pcs,
"D 1040*8M",Belts,,,,,0.00,Pcs,
"HTD 1600*8M",Belts,,,,,10.00,Pcs,
"XPA 1120",Belts,,,,,1.00,Pcs,
"58M 720",Belts,,,,,0.00,Pcs,
"HTD 800  5M",Belts,,,,,15.00,Pcs,
"HTD 1320*8M",Belts,,,,,12.00,Pcs,
"S5M  800",Belts,,,,,0.00,Pcs,
"HTD  1280*8M",Belts,,,,,1.00,Pcs,
880*8M,Belts,,,,,0.00,Pcs,
"STS 1440 S8M",Belts,,,,,2.00,Pcs,
HTD-1440*8M,Belts,,,,,17.00,Pcs,
"HTD 880*8M",Belts,,,,,9.00,Pcs,
"HTD 800*8M",Belts,,,,,2.00,Pcs,
25-9*5,Belts,,,,,0.00,Pcs,
"Timming Belt 140",Belts,,,,,0.00,Pcs,
"Filter(Tape Line)",Belts,,,,,0.00,Pcs,
HTD-1140*8M,Belts,,,,,4.00,Pcs,
H-2600*8M,Belts,,,,,2.00,Pcs,
"E02C 880*S8M",Belts,,,,,1.00,Pcs,
XPA-1975,Belts,,,,,1.00,Pcs,
ZR-170*2,Belts,,,,,12.00,Pcs,
HTD-2240*8M,Belts,,,,,1.00,Pcs,
STD1120*S8M,Belts,,,,,2.00,Pcs,
S5M*800,Belts,,,,,1.00,Pcs,
S8M640,Belts,,,,,2.00,Pcs,
STD-984*S8M,Belts,,,,,2.00,Pcs,
HTD-984*8M,Belts,,,,,1.00,Pcs,
S8M1192,Belts,,,,,2.00,Pcs,
JOMO-D8M*1440,Belts,,,,,3.00,Pcs,
OMEGA-1192*P8M,Belts,,,,,3.00,Pcs,
HTD-936*8M,Belts,,,,,8.00,Pcs,
HTD-800*5M,Belts,,,,,6.00,Pcs,
"E02C 880*S8M",Belts,,,,,4.00,Pcs,
Hm-39,Belts,,,,,2.00,Pcs,
Cement,Civil,,,,,0.00,Pcs,
"Rod 3 Suta",Civil,,,,,0.00,Kg,
"Local Sand",Civil,,,,,0.00,Cft,
"Enamel Paint White",Civil,,,,,0.00,Gallon,
"Enamel Paint Light Gray",Civil,,,,,0.00,Gallon,
"Enamel Paint Thinner",Civil,,,,,0.00,Ltr,
"Foam (For Wall Clean)",Civil,,,,,0.00,Pcs,
Elbow,Civil,,,,,0.00,pcs,
Tee,Civil,,,,,0.00,pcs,
Socket,Civil,,,,,0.00,pcs,
"M.S Plug",Civil,,,,,0.00,pcs,
"M.S Union",Civil,,,,,0.00,pcs,
"BIB Cock",Civil,,,,,0.00,pcs,
Tee-Cock,Civil,,,,,0.00,pcs,
"Hand Shower",Civil,,,,,0.00,pcs,
Sitkini,Civil,,,,,0.00,pcs,
"Soap Case",Civil,,,,,0.00,pcs,
"Towel Holder",Civil,,,,,0.00,pcs,
"Sanitary Fixing Sate",Civil,,,,,0.00,pcs,
"M.S Clamp",Civil,,,,,0.00,pcs,
"Basin filter ",Civil,,,,,0.00,pcs,
"Hose Pipe ",Civil,,,,,0.00,pcs,
"Bathroom Filter",Civil,,,,,0.00,pcs,
"Flash Parts Plastic",Civil,,,,,0.00,pcs,
"P.V.C Van",Civil,,,,,0.00,pcs,
"Double Circular Box",Civil,,,,,0.00,pcs,
"Sot Ben ",Civil,,,,,0.00,pcs,
"Were Clamp",Civil,,,,,0.00,pcs,
"G I pipe ",Civil,,,,,0.00,pcs,
Nippol,Civil,,,,,0.00,pcs,
Top,Civil,,,,,0.00,pcs,
"Gate Valve ",Civil,,,,,0.00,pcs,
"Pvc Gum",Civil,,,,,0.00,pcs,
"S S Kobja ",Civil,,,,,0.00,pcs,
"PVC Pipe",Civil,,,,,0.00,set,
"Mail Socket Brush ",Civil,,,,,0.00,pcs,
"Pen Comod ",Civil,,,,,0.00,pcs,
"Ball Valb Key",Civil,,,,,0.00,pcs,
"Colour Tin",Civil,,,,,0.00,pcs,
Cnapy,Civil,,,,,0.00,pcs,
"Toua ",Civil,,,,,0.00,pcs,
"Plastic Bresing Kol",Civil,,,,,0.00,pcs,
"Auto Switch ",Civil,,,,,0.00,pcs,
"Bush Pipe",Civil,,,,,0.00,pcs,
"N Cap",Civil,,,,,0.00,pcs,
"Parging Point",Civil,,,,,0.00,pcs,
"Ball valb T Gard nipple",Civil,,,,,0.00,pcs,
"Presser Gess",Civil,,,,,0.00,pcs,
"Rubber Tube Pipe",Civil,,,,,0.00,pcs,
"S.S Clamp",Civil,,,,,0.00,pcs,
Bearing-32010,Bearing,,,,,7.00,Pcs,
Bearing-32012,Bearing,,,,,2.00,Pcs,
Bearing-7202,Bearing,,,,,16.00,Pcs,
Bearing-32203,Bearing,,,,,4.00,Pcs,
Bearing-30203,Bearing,,,,,6.00,Pcs,
Bearing-22313,Bearing,,,,,1.00,Pcs,
Bearing-30206,Bearing,,,,,14.00,Pcs,
Bearing-6306,Bearing,,,,,25.00,Pcs,
Bearing-61908,Bearing,,,,,31.00,Pcs,
Bearing-22206,Bearing,,,,,20.00,Pcs,
Bearing-61804,Bearing,,,,,60.00,Pcs,
Bearing-6407,Bearing,,,,,8.00,Pcs,
Bearing-HR30208,Bearing,,,,,7.00,Pcs,
Bearing-6212,Bearing,,,,,8.00,Pcs,
Bearing-22216,Bearing,,,,,3.00,Pcs,
Bearing-22218,Bearing,,,,,3.00,Pcs,
Bearing-30207,Bearing,,,,,4.00,Pcs,
Bearing-6308,Bearing,,,,,4.00,Pcs,
Bearing-6309,Bearing,,,,,6.00,Pcs,
Bearing-6310,Bearing,,,,,1.00,Pcs,
Bearing-6311,Bearing,,,,,2.00,Pcs,
"Bearing block FC206",Bearing,,,,,8.00,Pcs,
Bearing-6209,Bearing,,,,,10.00,Pcs,
Bearing-6210,Bearing,,,,,8.00,Pcs,
Bearing-6208,Bearing,,,,,14.00,Pcs,
Bearing-6207,Bearing,,,,,12.00,Pcs,
Bearing-6206,Bearing,,,,,6.00,Pcs,
Bearing-6205,Bearing,,,,,20.00,Pcs,
Bearing-6204,Bearing,,,,,9.00,Pcs,
Bearing-6203,Bearing,,,,,11.00,Pcs,
Bearing-6202,Bearing,,,,,18.00,Pcs,
Bearing-6201,Bearing,,,,,51.00,Pcs,
Bearing-6008,Bearing,,,,,14.00,Pcs,
Bearing-6010,Bearing,,,,,16.00,Pcs,
Bearing-6012,Bearing,,,,,2.00,Pcs,
Bearing-6013,Bearing,,,,,9.00,Pcs,
Bearing-22206,Bearing,,,,,6.00,Pcs,
Bearing-6007,Bearing,,,,,36.00,Pcs,
Bearing-6006,Bearing,,,,,13.00,Pcs,
Bearing-6005,Bearing,,,,,11.00,Pcs,
Bearing-6004,Bearing,,,,,32.00,Pcs,
Bearing-6003,Bearing,,,,,9.00,Pcs,
Bearing-6220,Bearing,,,,,2.00,Pcs,
Bearing-6214,Bearing,,,,,4.00,Pcs,
Bearing-3209,Bearing,,,,,9.00,Pcs,
Bearing-6001,Bearing,,,,,0.00,Pcs,
Bearing-6200,Bearing,,,,,130.00,Pcs,
Bearing-6000,Bearing,,,,,140.00,Pcs,
Bearing-6307,Bearing,,,,,8.00,Pcs,
Bearing-6301,Bearing,,,,,47.00,Pcs,
Bearing-6302,Bearing,,,,,26.00,Pcs,
Bearing-6303,Bearing,,,,,16.00,Pcs,
Bearing-6304,Bearing,,,,,22.00,Pcs,
Bearing-6305,Bearing,,,,,16.00,Pcs,
Bearing-32007,Bearing,,,,,11.00,Pcs,
Bearing-32006,Bearing,,,,,10.00,Pcs,
Bearing-51108,Bearing,,,,,10.00,Pcs,
Bearing-22208,Bearing,,,,,3.00,Pcs,
YAR-212,Bearing,,,,,6.00,Pcs,
Bearing-1516,Bearing,,,,,13.00,Pcs,
Bearing-6020,Bearing,,,,,2.00,Pcs,
Bearing-2416,Bearing,,,,,16.00,Pcs,
Bearing-NK15/20,Bearing,,,,,4.00,Pcs,
Bearing-32206,Bearing,,,,,5.00,Pcs,
Bearing-51202,Bearing,,,,,9.00,Pcs,
Bearing-3208,Bearing,,,,,14.00,Pcs,
Bearing-SCE610,Bearing,,,,,30.00,Pcs,
"Bearing block ",Bearing,,,,,2.00,Pcs,
Bearing-606,Bearing,,,,,45.00,Pcs,
Bearing-R6ZZ,Bearing,,,,,5.00,Pcs,
Bearing-6014,Bearing,,,,,3.00,Pcs,
Bearing-6009,Bearing,,,,,14.00,Pcs,
Bearing-7303,Bearing,,,,,3.00,Pcs,
Bearing-3200,Bearing,,,,,8.00,Pcs,
Bearing-2210,Bearing,,,,,10.00,Pcs,
Bearing-3209,Bearing,,,,,4.00,Pcs,
Bearing-M-10,Bearing,,,,,8.00,Pcs,
Bearing-MK1520,Bearing,,,,,13.00,Pcs,
Bearing-6308,Bearing,,,,,5.00,Pcs,
Bearing-30205,Bearing,,,,,9.00,Pcs,
Bearing-RM307,Bearing,,,,,6.00,Pcs,
Bearing-1215,Bearing,,,,,3.00,Pcs,
Bearing-YAR210,Bearing,,,,,1.00,Pcs,
Bearing-30202,Bearing,,,,,6.00,Pcs,
Bearing-NU210,Bearing,,,,,4.00,Pcs,
Bearing-6217,Bearing,,,,,1.00,Pcs,
Bearing-63009,Bearing,,,,,26.00,Pcs,
" H Proof Bearing-6313",Bearing,,,,,1.00,Pcs,
Bearing-NJ311ECP,Bearing,,,,,2.00,Pcs,
Bearing-22220CC/W33,Bearing,,,,,1.00,Pcs,
Bearing-22220E/C3,Bearing,,,,,4.00,Pcs,
Bearing-63182Z/C3,Bearing,,,,,4.00,Pcs,
Bearing-3216A-2RS1,Bearing,,,,,4.00,Pcs,
Bearing-2906(FBJ),Bearing,,,,,2.00,Pcs,
Bearing-6020ZRS1/C3,Bearing,,,,,2.00,Pcs,
Bearing-30303,Bearing,,,,,18.00,Pcs,
Bearing-30203,Bearing,,,,,5.00,Pcs,
Bearing-6017,Bearing,,,,,2.00,Pcs,
Bearing-30212,Bearing,,,,,2.00,Pcs,
Bearing-5204,Bearing,,,,,6.00,Pcs,
Bearing-32209,Bearing,,,,,5.00,Pcs,
Bearing-61905,Bearing,,,,,7.00,Pcs,
Bearing-BLOCK,Bearing,,,,,10.00,Pcs,
Bearing-32206,Bearing,,,,,7.00,Pcs,
Bearing-6011,Bearing,,,,,3.00,Pcs,
Bearing-61915,Bearing,,,,,3.00,Pcs,
Bearing-32306,Bearing,,,,,7.00,Pcs,
Bearing-1201,Bearing,,,,,20.00,Pcs,
Bearing-1203,Bearing,,,,,6.00,Pcs,
Bearing-O2005,Bearing,,,,,6.00,Pcs,
Bearing-NU210ECM,Bearing,,,,,1.00,Pcs,
Bearing-NU2208ECP,Bearing,,,,,18.00,Pcs,
"Bearing -32207",Bearing,,,,,10.00,Pcs,
Bearing-LBW20UU,Bearing,,,,,9.00,Pcs,
Bearing62-20UU,Bearing,,,,,6.00,Pcs,
"Bearing 22214",Bearing,,,,,2.00,Pcs,
Bearing-6213,Bearing,,,,,2.00,Pcs,
Bearing-6316,Bearing,,,,,2.00,Pcs,
Bearing-51105,Bearing,,,,,5.00,Pcs,
Bearing-61804,Bearing,,,,,1.00,Pcs,
Bearing-5203,Bearing,,,,,2.00,Pcs,
Bearing-6905,Bearing,,,,,1.00,Pcs,
" H Proof Bearing-22313",Bearing,,,,,3.00,Pcs,
Bearing-6208,Bearing,,,,,18.00,Pcs,
Bearing-6306,Bearing,,,,,18.00,Pcs,
"Bearing Yar 205",Bearing,,,,,4.00,Pcs,
"Bearing Yar 210",Bearing,,,,,8.00,Pcs,
"Bearing NU319",Bearing,,,,,1.00,Pcs,
Bearing-22216,Bearing,,,,,1.00,Pcs,
"Bearing-YAR 212",Bearing,,,,,4.00,Pcs,
"Bearing 22218",Bearing,,,,,2.00,Pcs,
Bearing-3208,Bearing,,,,,3.00,Pcs,
Bearing-6020,Bearing,,,,,4.00,Pcs,
Bearing-6302,Bearing,,,,,4.00,Pcs,
Bearing-6309,Bearing,,,,,1.00,Pcs,
Bearing-61909,Bearing,,,,,6.00,Pcs,
" H  Proof Bearing 30210",Bearing,,,,,4.00,Pcs,
Bearing-61800,Bearing,,,,,8.00,Pcs,
Bearing-607,Bearing,,,,,10.00,Pcs,
Bearing-696,Bearing,,,,,11.00,Pcs,
Bearing-626,Bearing,,,,,10.00,Pcs,
" H Proof Bearing 6209",Bearing,,,,,5.00,Pcs,
"H Proof Bearing-6207",Bearing,,,,,12.00,Pcs,
"H Proof Bearing-6305",Bearing,,,,,7.00,Pcs,
"H Proof Bearing-6306",Bearing,,,,,4.00,Pcs,
"H Proof Bearing-6205",Bearing,,,,,5.00,Pcs,
"H Proof Bearing-6307",Bearing,,,,,6.00,Pcs,
"H Proof Bearing-6208",Bearing,,,,,12.00,Pcs,
"H Proof Bearing-6308",Bearing,,,,,6.00,Pcs,
"H Proof Bearing-6206",Bearing,,,,,5.00,Pcs,
,Bearing,,,,,0.00,,
,Bearing,,,,,0.00,,
,Bearing,,,,,0.00,,
,Bearing,,,,,0.00,,
,Bearing,,,,,0.00,,
,Bearing,,,,,0.00,,
,Bearing,,,,,0.00,,
,Bearing,,,,,0.00,,
,Bearing,,,,,0.00,,
